zona,densidad_intersecciones_km2_valor,densidad_intersecciones_km2_score,densidad_calle_km_km2_valor,densidad_calle_km_km2_score,longitud_promedio_segmento_m_valor,longitud_promedio_segmento_m_score,indice_caminabilidad
Barrio Obrero,617.5,73.9,71.38,73.4,41.56,98.6,78.7
Comuna 9,776.56,96.7,78.35,83.4,34.81,100.0,92.7
