zona,area_ha,intersecciones_peatonales,longitud_red_peatonal_km,longitud_promedio_segmento_m,densidad_calle_km_km2,densidad_intersecciones_km2
Barrio Obrero,37.73,233.0,26.93,41.6,71.38,617.0
Comuna 9,290.38,2255.0,227.52,34.8,78.35,777.0
